Geo__geoid_,Geo_qname,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,SE_A14006_001,SE_A14008_001,SE_B10060_001,SE_B10060_002,SE_B10060_003,SE_B18002_001,SE_B18002_002,SE_B18002_003,SE_B10040_001,SE_B10040_002,SE_B10040_003,SE_A10038_001,SE_A10038_002,SE_A10038_003,SE_A10038_004,SE_A10038_005,SE_A10038_006,SE_A10038_007,SE_A10038_008,SE_A10038_009,SE_A10038_010,SE_A10038_011,SE_A13004_001,SE_A13004_002,SE_A13004_003,SE_A13004_004,SE_A13004_005,SE_A13004_006,SE_A13004_007
"06081600800","Census Tract 6008, San Mateo County, California","CA",140,0,,,,6,81,,,600800,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081600800","Census Tract 6008, San Mateo County, California",,,6,7861,7861,2156,114,587,3200,0,675,1129,7861,5258,1638,114,153,3200,0,0,153,2603,518,0,434,0,0,675,976,2470,122,81,0,31,0,163,136,38,58,39,307,434,294,467,117,183,91500,103660.6072874494,360,90,270,2110,602,738,360,127,78,2110,0,0,0,0,26,155,540,689,700,0,7861,434,494,163,534,357,5879
"06081600900","Census Tract 6009, San Mateo County, California","CA",140,0,,,,6,81,,,600900,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081600900","Census Tract 6009, San Mateo County, California",,,6,3994,3994,1499,0,59,1745,0,77,614,3994,3485,1427,0,47,1736,0,17,258,509,72,0,12,9,0,60,356,1384,56,16,60,7,14,29,7,20,26,27,127,117,97,126,166,489,147258,200030.7803468208,1087,389,698,297,48,109,1087,385,222,297,0,0,0,0,7,0,43,13,216,18,3994,257,27,58,63,67,3522
"06081601000","Census Tract 6010, San Mateo County, California","CA",140,0,,,,6,81,,,601000,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081601000","Census Tract 6010, San Mateo County, California",,,6,7415,7415,1339,498,40,3860,110,558,1010,7415,6458,1238,498,0,3818,110,432,362,957,101,0,40,42,0,126,648,2274,66,40,0,34,65,12,14,53,40,65,71,504,198,230,335,547,122917,154927.48460861918,1941,387,1554,333,79,74,1941,697,267,333,0,56,0,0,29,11,25,80,93,39,7415,209,122,51,295,894,5844
"06081601100","Census Tract 6011, San Mateo County, California","CA",140,0,,,,6,81,,,601100,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081601100","Census Tract 6011, San Mateo County, California",,,6,6197,6197,998,127,9,4284,316,82,381,6197,5872,904,127,0,4284,316,0,241,325,94,0,9,0,0,82,140,1895,22,25,32,10,0,0,0,23,63,73,93,152,229,203,306,664,155637,199247.38786279684,1570,270,1300,325,47,107,1570,364,171,325,0,0,0,0,10,0,22,67,180,46,6140,95,33,47,378,30,5557
"06081601200","Census Tract 6012, San Mateo County, California","CA",140,0,,,,6,81,,,601200,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081601200","Census Tract 6012, San Mateo County, California",,,6,6706,6706,2172,208,0,3375,0,204,747,6706,5308,1775,83,0,3160,0,0,290,1398,397,125,0,215,0,204,457,2101,17,26,9,137,99,12,45,12,51,74,28,243,114,111,458,665,155554,160181.7705854355,982,230,752,1119,314,143,982,267,139,1119,0,0,0,115,134,54,85,294,411,26,6679,95,80,78,778,181,5467
"06081601301","Census Tract 6013.01, San Mateo County, California","CA",140,0,,,,6,81,,,601301,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081601301","Census Tract 6013.01, San Mateo County, California",,,6,4004,4004,400,11,116,1673,0,1131,673,4004,2104,299,11,0,1673,0,7,114,1900,101,0,116,0,0,1124,559,1152,47,69,11,21,87,30,62,27,0,37,33,140,188,149,119,132,108468,106482.03125,305,48,257,847,178,186,305,64,31,847,38,141,11,0,68,142,236,32,164,15,4004,86,73,98,185,327,3235
"06081601302","Census Tract 6013.02, San Mateo County, California","CA",140,0,,,,6,81,,,601302,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081601302","Census Tract 6013.02, San Mateo County, California",,,6,4581,4581,473,77,93,2576,2,701,659,4581,3113,140,77,0,2576,2,0,318,1468,333,0,93,0,0,701,341,1497,41,16,13,36,89,83,27,84,129,0,200,105,217,12,230,215,90994,111339.41215764864,464,14,450,1033,389,217,464,124,10,1033,36,15,93,17,240,313,90,73,156,0,4581,46,22,19,974,160,3360
"06081601400","Census Tract 6014, San Mateo County, California","CA",140,0,,,,6,81,,,601400,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081601400","Census Tract 6014, San Mateo County, California",,,6,7102,7102,798,146,0,5308,0,529,321,7102,6422,667,46,0,5253,0,213,243,680,131,100,0,55,0,316,78,2171,33,27,51,60,0,9,0,96,16,212,251,154,338,301,290,333,113801,135121.326577614,1328,98,1230,843,284,217,1328,477,163,843,0,0,0,0,64,95,146,153,268,117,6993,175,115,38,228,301,6136
"06081601501","Census Tract 6015.01, San Mateo County, California","CA",140,0,,,,6,81,,,601501,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081601501","Census Tract 6015.01, San Mateo County, California",,,6,4917,4917,704,300,0,3717,0,112,84,4917,4324,291,300,0,3696,0,0,37,593,413,0,0,21,0,112,47,1456,53,0,0,0,29,63,18,61,52,27,52,168,19,47,289,578,178692,182217.78846153847,1305,112,1193,151,49,0,1305,316,72,151,0,0,0,0,14,0,68,0,43,26,4898,228,13,26,8,98,4525
"06081601502","Census Tract 6015.02, San Mateo County, California","CA",140,0,,,,6,81,,,601502,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081601502","Census Tract 6015.02, San Mateo County, California",,,6,4995,4995,514,324,11,2774,113,520,739,4995,3737,431,225,11,2759,45,17,249,1258,83,99,0,15,68,503,490,1661,155,48,10,37,42,46,112,38,55,61,100,149,152,136,306,214,97465,120363.2149307646,335,45,290,1326,334,400,335,73,42,1326,0,42,29,0,78,143,481,283,270,0,4679,285,8,85,321,240,3740
"06081601601","Census Tract 6016.01, San Mateo County, California","CA",140,0,,,,6,81,,,601601,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081601601","Census Tract 6016.01, San Mateo County, California",,,6,2742,2742,804,65,24,1127,1,283,438,2742,1786,480,45,0,1124,1,37,99,956,324,20,24,3,0,246,339,931,31,10,16,9,51,15,3,29,9,36,123,93,135,94,102,175,104750,128474.9731471536,610,199,411,321,74,99,610,253,69,321,0,2,0,3,36,120,69,39,22,30,2740,92,28,55,175,103,2287
"06081601603","Census Tract 6016.03, San Mateo County, California","CA",140,0,,,,6,81,,,601603,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081601603","Census Tract 6016.03, San Mateo County, California",,,6,6487,6487,721,141,10,4488,256,114,757,6487,5703,443,141,0,4414,256,0,449,784,278,0,10,74,0,114,308,2077,125,20,41,16,173,8,40,47,10,62,77,283,234,86,206,649,111181,152674.0972556572,1271,85,1186,806,128,385,1271,303,190,806,0,0,0,0,10,13,198,53,514,18,6465,597,29,65,271,310,5193
"06081601604","Census Tract 6016.04, San Mateo County, California","CA",140,0,,,,6,81,,,601604,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081601604","Census Tract 6016.04, San Mateo County, California",,,6,2431,2431,466,69,39,1272,0,374,211,2431,1889,437,69,0,1255,0,0,128,542,29,0,39,17,0,374,83,1123,0,0,10,15,0,9,0,39,0,25,200,120,192,91,273,149,123316,137698.48619768478,712,180,532,411,158,71,712,233,79,411,0,0,0,11,10,74,65,102,142,7,2431,6,9,15,37,5,2359
"06081601605","Census Tract 6016.05, San Mateo County, California","CA",140,0,,,,6,81,,,601605,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081601605","Census Tract 6016.05, San Mateo County, California",,,6,6016,6016,526,149,12,4837,0,334,158,6016,5475,416,149,12,4837,0,0,61,541,110,0,0,0,0,334,97,1902,15,33,100,54,23,81,29,17,46,53,83,101,164,103,360,640,159539,165550,1509,178,1331,393,17,153,1509,479,171,393,0,0,0,65,0,0,77,10,227,14,5998,95,155,138,114,207,5289
"06081601700","Census Tract 6017, San Mateo County, California","CA",140,0,,,,6,81,,,601700,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081601700","Census Tract 6017, San Mateo County, California",,,6,4513,4513,1318,52,0,2045,29,453,616,4513,3409,1144,52,0,1961,29,5,218,1104,174,0,0,84,0,448,398,1354,0,23,6,0,0,0,4,56,11,8,67,115,89,177,201,597,179737,200759.74889217137,1203,383,820,151,17,15,1203,231,96,151,0,0,0,0,0,0,21,54,76,0,4479,104,28,144,45,24,4134
"06081601800","Census Tract 6018, San Mateo County, California","CA",140,0,,,,6,81,,,601800,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081601800","Census Tract 6018, San Mateo County, California",,,6,5969,5969,1964,1,0,2521,167,470,846,5969,4495,1685,1,0,2503,167,0,139,1474,279,0,0,18,0,470,707,2186,101,0,0,32,59,39,39,12,0,67,316,159,105,223,341,693,142614,178934.67520585546,1850,576,1274,336,15,91,1850,664,476,336,0,0,0,0,12,86,37,0,201,0,5967,192,24,37,14,282,5418
"06081601901","Census Tract 6019.01, San Mateo County, California","CA",140,0,,,,6,81,,,601901,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081601901","Census Tract 6019.01, San Mateo County, California",,,6,3988,3988,993,42,26,1625,95,625,582,3988,2670,910,42,0,1625,0,0,93,1318,83,0,26,0,95,625,489,1236,68,7,7,48,19,19,55,30,15,104,36,159,129,89,67,384,102406,160776.7799352751,881,314,567,355,51,145,881,355,218,355,0,0,0,0,16,18,80,145,87,9,3988,170,88,78,157,339,3156
"06081601902","Census Tract 6019.02, San Mateo County, California","CA",140,0,,,,6,81,,,601902,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081601902","Census Tract 6019.02, San Mateo County, California",,,6,5467,5467,1605,173,35,3090,0,229,335,5467,4696,1362,173,14,3090,0,0,57,771,243,0,21,0,0,229,278,2141,56,46,13,15,20,51,36,38,98,0,20,223,297,220,341,667,148224,172776.36618402615,864,172,692,1277,427,90,864,314,89,1277,0,0,0,16,0,27,339,114,714,67,5467,58,38,26,485,291,4569
"06081602001","Census Tract 6020.01, San Mateo County, California","CA",140,0,,,,6,81,,,602001,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081602001","Census Tract 6020.01, San Mateo County, California",,,6,3825,3825,1376,40,10,1669,0,165,565,3825,2987,1262,40,0,1648,0,0,37,838,114,0,10,21,0,165,528,1443,20,48,0,26,0,0,0,72,0,56,45,87,184,153,306,446,158516,186913.86001386,1086,473,613,357,122,83,1086,301,100,357,0,10,0,0,33,84,42,16,172,0,3770,99,3,47,106,81,3434
"06081602002","Census Tract 6020.02, San Mateo County, California","CA",140,0,,,,6,81,,,602002,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081602002","Census Tract 6020.02, San Mateo County, California",,,6,3928,3928,1193,0,13,1676,13,669,364,3928,2271,548,0,0,1615,13,7,88,1657,645,0,13,61,0,662,276,1157,13,0,0,0,28,25,9,0,0,39,135,154,105,63,209,377,150647,177483.40535868626,1023,261,762,134,0,25,1023,195,41,134,0,0,0,0,0,22,18,22,72,0,3928,13,0,114,82,497,3222
"06081602100","Census Tract 6021, San Mateo County, California","CA",140,0,,,,6,81,,,602100,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081602100","Census Tract 6021, San Mateo County, California",,,6,3368,3368,570,160,259,605,31,1116,627,3368,1064,244,160,0,573,31,31,25,2304,326,0,259,32,0,1085,602,959,59,12,19,19,25,88,6,47,11,27,29,170,129,60,128,130,92083,112440.771637122,293,76,217,666,172,209,293,117,45,666,0,28,19,0,35,97,245,52,179,11,3368,288,132,82,398,122,2346
"06081602201","Census Tract 6022.01, San Mateo County, California","CA",140,0,,,,6,81,,,602201,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081602201","Census Tract 6022.01, San Mateo County, California",,,6,4800,4800,1735,47,58,822,12,1375,751,4800,2321,1165,47,0,810,12,0,287,2479,570,0,58,12,0,1375,464,1758,37,20,35,9,48,80,94,17,50,106,226,307,194,125,137,273,91744,113404.09556313993,321,76,245,1437,361,450,321,86,16,1437,31,36,0,0,60,161,531,177,411,30,4800,85,197,51,519,149,3799
"06081602202","Census Tract 6022.02, San Mateo County, California","CA",140,0,,,,6,81,,,602202,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081602202","Census Tract 6022.02, San Mateo County, California",,,6,3284,3284,565,103,11,719,0,869,1017,3284,1102,280,103,0,719,0,0,0,2182,285,0,11,0,0,869,1017,1219,12,23,48,0,16,16,15,96,21,43,167,178,161,55,54,314,89583,129602.2969647252,182,17,165,1037,252,309,182,49,31,1037,0,0,12,23,65,198,173,115,451,0,3284,75,216,100,392,151,2350
"06081602300","Census Tract 6023, San Mateo County, California","CA",140,0,,,,6,81,,,602300,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081602300","Census Tract 6023, San Mateo County, California",,,6,4294,4294,703,31,0,1229,342,853,1136,4294,2346,272,31,0,1222,342,0,479,1948,431,0,0,7,0,853,657,1363,33,22,101,19,12,12,26,46,19,62,20,84,174,72,218,443,140804,201542.77329420397,867,81,786,496,72,148,867,250,101,496,0,65,43,0,0,29,62,80,217,0,4289,235,82,233,93,378,3268
"06081602400","Census Tract 6024, San Mateo County, California","CA",140,0,,,,6,81,,,602400,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081602400","Census Tract 6024, San Mateo County, California",,,6,7522,7522,2812,105,12,2563,22,1310,698,7522,5567,2579,105,8,2501,22,132,220,1955,233,0,4,62,0,1178,478,2725,108,137,90,69,43,53,38,34,24,52,192,383,174,197,500,631,123240,151750.82568807338,1529,681,848,1196,341,349,1529,449,191,1196,22,79,63,18,0,121,198,251,401,43,7511,293,45,272,174,551,6176
"06081602500","Census Tract 6025, San Mateo County, California","CA",140,0,,,,6,81,,,602500,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081602500","Census Tract 6025, San Mateo County, California",,,6,5179,5179,806,246,0,3691,11,115,310,5179,4740,669,233,0,3677,11,0,150,439,137,13,0,14,0,115,160,1469,50,17,12,0,16,39,40,14,44,36,80,118,107,71,227,598,157455,192213.5466303608,1319,179,1140,150,61,0,1319,442,176,150,0,0,0,0,0,0,0,10,129,11,5172,321,0,12,79,198,4562
"06081602601","Census Tract 6026.01, San Mateo County, California","CA",140,0,,,,6,81,,,602601,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081602601","Census Tract 6026.01, San Mateo County, California",,,6,4125,4125,928,41,21,2775,0,154,206,4125,3719,791,41,21,2761,0,12,93,406,137,0,0,14,0,142,113,1505,0,57,9,68,0,13,8,66,29,87,23,82,132,83,138,710,181397,299948.17275747505,1058,257,801,447,29,165,1058,257,129,447,0,0,0,0,0,0,42,13,350,42,4125,104,115,17,111,329,3449
"06081602602","Census Tract 6026.02, San Mateo County, California","CA",140,0,,,,6,81,,,602602,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081602602","Census Tract 6026.02, San Mateo County, California",,,6,4268,4268,556,72,0,2449,0,979,212,4268,2981,380,72,0,2371,0,0,158,1287,176,0,0,78,0,979,54,1278,36,0,20,0,0,8,34,63,0,90,71,151,73,67,206,459,151757,163076.4475743349,732,130,602,546,116,139,732,216,62,546,0,0,0,0,0,64,31,81,370,0,4223,130,92,104,1,248,3648
"06081602700","Census Tract 6027, San Mateo County, California","CA",140,0,,,,6,81,,,602700,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081602700","Census Tract 6027, San Mateo County, California",,,6,5866,5866,1651,114,73,2587,31,455,955,5866,4662,1373,82,0,2508,31,44,624,1204,278,32,73,79,0,411,331,1982,40,65,54,6,31,18,15,67,37,90,160,109,124,114,449,603,165232,178212.8153380424,1266,328,938,716,140,325,1266,325,99,716,0,0,0,11,0,51,102,170,382,0,5832,169,124,135,27,530,4847
"06081602800","Census Tract 6028, San Mateo County, California","CA",140,0,,,,6,81,,,602800,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081602800","Census Tract 6028, San Mateo County, California",,,6,4828,4828,1296,105,217,1621,361,445,783,4828,3256,1071,98,0,1600,315,78,94,1572,225,7,217,21,46,367,689,1528,33,7,17,30,12,10,18,36,79,52,96,86,86,85,278,603,165000,190933.83507853403,1021,317,704,507,95,151,1021,217,101,507,0,0,0,0,0,10,139,31,320,7,4789,71,26,106,44,248,4294
"06081602900","Census Tract 6029, San Mateo County, California","CA",140,0,,,,6,81,,,602900,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081602900","Census Tract 6029, San Mateo County, California",,,6,3814,3814,2055,188,0,951,79,149,392,3814,3050,1588,154,0,902,79,30,297,764,467,34,0,49,0,119,95,1600,54,0,0,34,60,0,9,26,23,83,81,207,155,83,304,481,139891,188105.1875,886,347,539,714,183,161,886,212,75,714,0,0,46,0,9,7,23,146,462,21,3777,107,14,35,52,112,3457
"06081603000","Census Tract 6030, San Mateo County, California","CA",140,0,,,,6,81,,,603000,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081603000","Census Tract 6030, San Mateo County, California",,,6,4506,4506,2616,165,220,579,36,67,823,4506,3484,2419,165,11,558,22,21,288,1022,197,0,209,21,14,46,535,1969,25,42,0,16,8,10,57,10,94,40,128,189,177,150,314,709,152005,179612.7475876079,943,694,249,1026,270,128,943,303,200,1026,0,47,16,0,0,57,114,411,361,20,4417,163,17,105,162,18,3952
"06081603100","Census Tract 6031, San Mateo County, California","CA",140,0,,,,6,81,,,603100,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081603100","Census Tract 6031, San Mateo County, California",,,6,3357,3357,2047,18,10,652,86,96,448,3357,2969,1939,18,1,611,86,45,269,388,108,0,9,41,0,51,179,1153,0,53,0,14,9,25,2,19,30,16,46,68,92,47,81,651,214250,235743.97224631396,991,634,357,162,21,26,991,248,111,162,0,0,0,0,0,37,7,11,107,0,3351,136,70,39,171,100,2835
