Geo__geoid_,Geo_qname,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,SE_A14006_001,SE_A14008_001,SE_B10060_001,SE_B10060_002,SE_B10060_003,SE_B18002_001,SE_B18002_002,SE_B18002_003,SE_B10040_001,SE_B10040_002,SE_B10040_003,SE_A10038_001,SE_A10038_002,SE_A10038_003,SE_A10038_004,SE_A10038_005,SE_A10038_006,SE_A10038_007,SE_A10038_008,SE_A10038_009,SE_A10038_010,SE_A10038_011,SE_A13004_001,SE_A13004_002,SE_A13004_003,SE_A13004_004,SE_A13004_005,SE_A13004_006,SE_A13004_007
"06081600100","Census Tract 6001, San Mateo County, California","CA",140,0,,,,6,81,,,600100,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081600100","Census Tract 6001, San Mateo County, California",,,6,5070,5070,2399,1,78,1773,24,293,502,5070,3966,1996,1,0,1773,24,20,152,1104,403,0,78,0,0,273,350,2031,139,0,18,23,15,20,47,109,68,39,122,151,104,102,266,808,152802,259646.4795667159,1262,612,650,769,31,212,1262,546,318,769,0,0,0,0,121,34,153,244,216,1,5020,342,0,16,187,221,4254
"06081600200","Census Tract 6002, San Mateo County, California","CA",140,0,,,,6,81,,,600200,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081600200","Census Tract 6002, San Mateo County, California",,,6,4155,4155,227,259,0,2420,252,646,351,4155,3061,68,99,0,2420,252,61,161,1094,159,160,0,0,0,585,190,1094,48,18,21,8,16,9,30,32,13,76,45,115,131,112,136,284,122917,149305.30164533822,780,29,751,314,35,98,780,127,74,314,0,0,16,13,109,100,0,49,8,19,4155,111,12,67,31,301,3633
"06081600300","Census Tract 6003, San Mateo County, California","CA",140,0,,,,6,81,,,600300,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081600300","Census Tract 6003, San Mateo County, California",,,6,4070,4070,872,250,41,2510,0,70,327,4070,3708,857,250,0,2489,0,17,95,362,15,0,41,21,0,53,232,1396,225,0,16,11,14,0,66,44,14,29,0,177,83,78,216,423,128500,161059.09742120345,1013,210,803,383,40,41,1013,324,135,383,0,0,0,16,13,0,0,12,130,212,4070,271,35,137,50,214,3363
"06081600401","Census Tract 6004.01, San Mateo County, California","CA",140,0,,,,6,81,,,600401,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081600401","Census Tract 6004.01, San Mateo County, California",,,6,3391,3391,575,485,0,1764,0,232,335,3391,2786,367,467,0,1752,0,0,200,605,208,18,0,12,0,232,135,1143,66,0,17,8,0,0,3,21,48,28,49,93,61,145,323,281,158949,173824.58442694662,827,109,718,316,60,59,827,252,102,316,0,16,0,0,0,13,66,69,152,0,3391,69,50,21,155,154,2942
"06081600402","Census Tract 6004.02, San Mateo County, California","CA",140,0,,,,6,81,,,600402,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081600402","Census Tract 6004.02, San Mateo County, California",,,6,4615,4615,511,0,210,2161,0,1351,382,4615,2819,351,0,0,2075,0,331,62,1796,160,0,210,86,0,1020,320,1158,0,27,40,75,52,40,32,13,0,6,56,66,89,85,331,246,142250,156678.58376511227,963,150,813,195,11,53,963,277,188,195,35,0,0,0,5,0,20,60,64,11,4582,142,35,209,208,328,3660
"06081600501","Census Tract 6005.01, San Mateo County, California","CA",140,0,,,,6,81,,,600501,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081600501","Census Tract 6005.01, San Mateo County, California",,,6,3709,3709,1039,11,0,1864,13,235,547,3709,2255,347,11,0,1843,13,1,40,1454,692,0,0,21,0,234,507,1188,52,0,37,72,28,0,0,67,22,33,110,129,25,54,176,383,130278,174776.7676767677,747,187,560,441,74,208,747,204,100,441,0,0,0,0,0,13,175,77,154,22,3709,187,40,24,450,108,2900
"06081600502","Census Tract 6005.02, San Mateo County, California","CA",140,0,,,,6,81,,,600502,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081600502","Census Tract 6005.02, San Mateo County, California",,,6,4228,4228,226,0,23,3016,0,770,193,4228,3068,119,0,0,2941,0,0,8,1160,107,0,23,75,0,770,185,1110,15,61,0,0,9,23,0,6,0,72,41,156,18,261,235,213,131694,140824.32432432432,769,74,695,341,109,8,769,300,144,341,0,0,0,0,27,190,60,0,58,6,4211,97,73,236,21,434,3350
"06081600600","Census Tract 6006, San Mateo County, California","CA",140,0,,,,6,81,,,600600,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081600600","Census Tract 6006, San Mateo County, California",,,6,4863,4863,755,62,0,2671,0,782,593,4863,2920,154,51,0,2652,0,0,63,1943,601,11,0,19,0,782,530,1449,70,34,27,0,18,0,71,73,22,95,144,129,303,93,88,282,105088,120836.7839889579,543,66,477,906,205,260,543,176,101,906,64,0,0,51,73,158,274,90,196,0,4846,459,99,63,205,438,3582
"06081600701","Census Tract 6007.01, San Mateo County, California","CA",140,0,,,,6,81,,,600701,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081600701","Census Tract 6007.01, San Mateo County, California",,,6,3287,3287,515,71,118,1953,0,166,464,3287,2591,453,71,0,1937,0,0,130,696,62,0,118,16,0,166,334,1169,0,70,26,142,69,29,64,26,35,24,136,16,176,16,107,233,74049,106739.9486740804,835,108,727,334,73,93,835,428,287,334,0,0,0,0,22,121,162,16,0,13,3284,134,70,41,341,287,2411
"06081600702","Census Tract 6007.02, San Mateo County, California","CA",140,0,,,,6,81,,,600702,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06081600702","Census Tract 6007.02, San Mateo County, California",,,6,2778,2778,398,20,43,1807,23,324,163,2778,2403,398,20,43,1807,23,17,95,375,0,0,0,0,0,307,68,896,17,0,5,14,61,10,0,9,34,12,71,80,92,84,282,125,143011,146957.92410714287,569,93,476,327,157,58,569,230,0,327,0,0,0,0,161,19,0,26,121,0,2778,99,0,50,336,62,2231
