Geo__geoid_,Geo_qname,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,SE_A14006_001,SE_A14008_001,SE_B10060_001,SE_B10060_002,SE_B10060_003,SE_B18002_001,SE_B18002_002,SE_B18002_003,SE_B10040_001,SE_B10040_002,SE_B10040_003,SE_A10038_001,SE_A10038_002,SE_A10038_003,SE_A10038_004,SE_A10038_005,SE_A10038_006,SE_A10038_007,SE_A10038_008,SE_A10038_009,SE_A10038_010,SE_A10038_011,SE_A13004_001,SE_A13004_002,SE_A13004_003,SE_A13004_004,SE_A13004_005,SE_A13004_006,SE_A13004_007
"94037","ZCTA5 94037","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94037","ZCTA5 94037",,,,2897,2897,2264,0,0,51,0,192,390,2897,2389,2236,0,0,51,0,0,102,508,28,0,0,0,0,192,288,1061,0,0,0,16,0,0,0,14,0,74,0,118,76,47,168,548,201367,259908.76531573987,950,831,119,111,0,0,950,197,49,111,0,0,0,0,0,0,69,0,42,0,2824,51,0,52,16,0,2705
"94038","ZCTA5 94038","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94038","ZCTA5 94038",,,,3016,3016,2141,14,9,159,0,416,277,3016,2126,1774,14,9,159,0,0,170,890,367,0,0,0,0,416,107,988,17,54,25,35,0,13,0,17,0,54,22,176,76,113,66,320,128333,159207.5910931174,954,680,274,34,0,17,954,198,108,34,0,0,0,0,0,0,0,17,17,0,2892,31,38,91,266,32,2434
"94044","ZCTA5 94044","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94044","ZCTA5 94044",,,,37540,37540,20556,754,607,7956,608,1599,5460,37540,30278,18195,681,16,7723,548,301,2814,7262,2361,73,591,233,60,1298,2646,13982,263,249,141,179,218,120,242,195,323,404,1013,1239,1182,961,2231,5022,156658,186129.1946788728,9570,5597,3973,4412,909,1376,9570,2338,964,4412,64,87,118,42,9,354,558,829,2260,91,37273,1163,602,536,744,1368,32860
"94060","ZCTA5 94060","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94060","ZCTA5 94060",,,,1389,1389,567,0,0,0,0,596,226,1389,639,548,0,0,0,0,23,68,750,19,0,0,0,0,573,158,358,0,0,0,0,28,0,0,0,0,30,44,50,83,0,0,123,111351,141513.40782122905,216,188,28,142,14,0,216,86,44,142,0,0,30,63,0,7,0,0,14,28,1389,19,18,322,0,278,752
"94061","ZCTA5 94061","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94061","ZCTA5 94061",,,,37369,37369,16732,1038,978,5400,272,7456,5493,37369,23306,14846,972,40,5258,261,211,1718,14063,1886,66,938,142,11,7245,3775,13144,223,129,59,174,98,133,165,461,427,552,1254,1189,885,1262,1302,4831,141599,204793.24406573345,6958,4604,2354,6186,1694,1713,6958,1774,900,6186,28,18,73,0,44,502,1454,1460,2519,88,37237,1070,582,668,1502,3206,30209
"94062","ZCTA5 94062","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94062","ZCTA5 94062",,,,25944,25944,18784,460,33,2337,36,860,3434,25944,22546,17925,407,7,2337,36,153,1681,3398,859,53,26,0,0,707,1753,9740,134,185,52,112,132,89,31,79,88,236,256,635,466,555,1156,5534,233333,367174.98973305954,6947,5598,1349,2793,357,612,6947,1953,771,2793,13,25,4,15,59,238,589,535,1232,83,25864,609,307,225,511,388,23824
"94063","ZCTA5 94063","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94063","ZCTA5 94063",,,,34695,34695,10004,777,1179,3879,397,10740,7719,34695,12454,6738,671,28,3705,397,183,732,22241,3266,106,1151,174,0,10557,6987,11291,308,240,199,235,276,188,295,251,352,527,870,1486,814,856,1417,2977,115528,164662.66938269418,3556,1360,2196,7735,1914,1948,3556,1044,515,7735,67,119,172,186,415,727,1548,982,3437,82,33875,1903,826,1086,2687,2798,24575
"94065","ZCTA5 94065","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94065","ZCTA5 94065",,,,11620,11620,4821,58,29,5289,81,171,1171,11620,10871,4565,58,29,5272,81,76,790,749,256,0,0,17,0,95,381,4617,82,95,22,69,138,19,54,160,13,53,135,207,324,271,396,2579,213361,281506.43274853803,3036,1395,1641,1581,258,331,3036,849,410,1581,0,13,7,9,44,27,36,141,1263,41,11620,232,49,81,177,273,10808
"94066","ZCTA5 94066","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94066","ZCTA5 94066",,,,42875,42875,14904,625,56,13673,1118,6522,5977,42875,30048,12194,625,27,13509,1110,393,2190,12827,2710,0,29,164,8,6129,3787,15463,293,193,94,201,346,252,234,202,364,884,1089,1677,1345,1421,2286,4582,135976,168441.2597814137,9556,3716,5840,5907,1301,1635,9556,2700,1211,5907,75,0,9,118,267,602,1397,998,2253,188,42526,1217,570,399,1127,2062,37151
"94070","ZCTA5 94070","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94070","ZCTA5 94070",,,,30696,30696,18224,253,66,6694,249,1119,4091,30696,27380,17580,253,15,6657,244,398,2233,3316,644,0,51,37,5,721,1858,11331,222,48,25,146,101,120,108,167,94,373,362,478,854,700,1125,6408,235373,336470.5939458124,7820,5244,2576,3511,678,680,7820,1485,636,3511,42,49,0,8,31,493,720,661,1481,26,30557,743,118,121,608,647,28320
"94074","ZCTA5 94074","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94074","ZCTA5 94074",,,,92,92,62,0,0,0,0,0,30,92,62,62,0,0,0,0,0,0,30,0,0,0,0,0,0,30,39,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,11,,364969.2307692307,25,14,11,14,0,0,25,14,14,14,0,0,0,0,0,0,0,0,0,14,92,40,0,0,0,0,52
"94080","ZCTA5 94080","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94080","ZCTA5 94080",,,,65036,65036,17225,1137,445,27807,723,9382,8317,65036,44822,13361,1124,43,27404,628,187,2075,20214,3864,13,402,403,95,9195,6242,22033,614,412,362,328,297,443,404,591,322,777,1427,2385,2053,1655,3101,6862,135966,175309.50846457586,13391,3713,9678,8642,2036,2247,13391,4002,1796,8642,53,218,137,57,221,919,1830,1148,3846,213,64875,2188,1060,1322,2703,3640,53962
"94128","ZCTA5 94128","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94128","ZCTA5 94128",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94303","ZCTA5 94303","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94303","ZCTA5 94303",,,,47123,47123,13812,3908,1231,10203,1323,11381,5265,47123,28168,10578,3842,58,10180,1323,519,1668,18955,3234,66,1173,23,0,10862,3597,14485,371,212,286,167,227,382,216,210,438,450,1059,1081,1335,892,1577,5582,148031,223571.0873317225,8259,2841,5418,6226,1599,1607,8259,2455,1413,6226,40,35,121,49,647,1057,800,678,2641,158,46859,1676,406,1031,2436,2537,38773
"94401","ZCTA5 94401","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94401","ZCTA5 94401",,,,35628,35628,11541,442,1090,8830,1140,6695,5890,35628,22160,9128,442,151,8728,1133,318,2260,13468,2413,0,939,102,7,6377,3630,13086,440,301,201,540,258,278,250,723,288,432,741,1217,1143,942,2042,3290,121258,157656.35029802844,5807,2601,3206,7279,1582,2155,5807,1995,1020,7279,56,94,75,56,534,901,1313,1318,2835,97,35220,1965,1025,854,2571,3402,25403
"94402","ZCTA5 94402","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94402","ZCTA5 94402",,,,25498,25498,13180,350,4,6791,249,1893,3031,25498,21675,12550,350,4,6635,240,158,1738,3823,630,0,0,156,9,1735,1293,9944,228,120,21,48,135,203,83,161,165,247,468,803,691,903,1067,4601,179683,261492.09573612228,5897,3713,2184,4047,769,946,5897,1778,906,4047,19,0,14,5,103,417,645,425,2359,60,25397,700,185,662,413,799,22638
"94403","ZCTA5 94403","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94403","ZCTA5 94403",,,,43459,43459,18693,690,296,12621,312,5873,4974,43459,32990,17071,690,35,12599,266,561,1768,10469,1622,0,261,22,46,5312,3206,16372,639,157,99,384,170,281,216,255,357,474,825,938,1157,1179,1888,7353,179825,224540.2760811141,8836,4812,4024,7536,1490,1662,8836,2466,1237,7536,22,84,54,27,127,574,1124,1036,4451,37,43006,1482,644,619,1829,1100,37332
"94404","ZCTA5 94404","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94404","ZCTA5 94404",,,,35950,35950,12459,621,71,18726,46,834,3193,35950,33523,11638,593,47,18708,46,332,2159,2427,821,28,24,18,0,502,1034,14583,299,230,105,253,221,136,193,195,237,466,588,959,777,1197,2006,6721,182417,233360.68024411987,7446,2870,4576,7137,1314,1547,7446,1919,844,7137,56,34,60,83,91,187,363,692,5372,199,35686,927,302,443,556,757,32701
